,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
285,286,SMHL,"1,386.00",105.00,8.20,"1,282.00","1,386.00","1,220.00","34,907.00","1,281.00"
286,287,SMJC,572.00,3.00,0.53,580.00,585.40,560.10,"41,055.00",569.00
287,288,SMPDA,927.40,-1.60,-0.17,912.00,931.00,912.00,"5,942.00",929.00
288,289,SNLI,642.00,5.00,0.78,644.00,647.00,630.00,"36,998.00",637.00
289,290,SONA,479.00,4.00,0.84,484.50,484.50,475.60,"65,611.00",475.00
290,291,SPC,572.00,5.10,0.90,565.00,583.00,560.00,"107,573.00",566.90
291,292,SPDL,335.00,8.50,2.60,333.00,336.00,327.20,"101,854.00",326.50
292,293,SPHL,846.00,-4.00,-0.47,860.00,866.00,846.00,"11,888.00",850.00
293,294,SPIL,828.60,2.60,0.31,838.40,838.40,813.00,"22,524.00",826.00
294,295,SPL,975.00,0.00,0.00,972.00,975.00,946.00,"7,375.00",975.00
295,296,SRLI,432.00,6.00,1.41,427.00,434.40,426.00,"102,666.00",426.00
296,297,SSHL,233.00,7.10,3.14,230.40,233.90,223.70,"75,588.00",225.90
297,298,STC,"5,345.00",-15.00,-0.28,"5,370.00","5,376.90","5,326.00","1,734.00","5,360.00"
298,299,SWBBL,876.00,11.00,1.27,874.00,877.70,862.00,"5,627.00",865.00
299,300,SWMF,754.80,10.90,1.47,750.00,755.00,735.00,"15,323.00",743.90
300,301,TAMOR,600.00,30.00,5.26,570.00,605.00,566.70,"284,715.00",570.00
301,302,TPC,572.50,-3.30,-0.57,564.30,586.00,564.30,"80,668.00",575.80
302,303,TRH,"1,183.00",30.90,2.68,"1,174.90","1,185.00","1,161.30","7,743.00","1,152.10"
303,304,TSHL,863.00,0.00,0.00,879.90,879.90,851.20,"6,829.00",863.00
304,305,TVCL,601.00,17.30,2.96,572.50,609.00,572.50,"55,810.00",583.70
305,306,UAIL,676.00,6.00,0.90,672.00,681.00,668.00,"29,346.00",670.00
306,307,UHEWA,869.00,23.90,2.83,844.00,870.00,844.00,"9,945.00",845.10
307,308,ULBSL,"4,132.00",-23.00,-0.55,"4,081.00","4,235.00","4,081.00","5,472.00","4,155.00"
308,309,ULHC,545.00,0.00,0.00,540.00,558.00,540.00,"65,775.00",545.00
309,310,UMHL,344.70,8.20,2.44,343.20,349.90,330.00,"141,917.00",336.50
310,311,UMRH,646.20,-5.80,-0.89,659.00,659.10,639.00,"87,544.00",652.00
311,312,UNHPL,325.30,18.30,5.96,301.00,329.90,301.00,"429,126.00",307.00
312,313,UNL,"46,782.00",-18.00,-0.04,"46,489.00","46,800.00","45,865.10",111.00,"46,800.00"
313,314,UNLB,"2,690.00",-2.00,-0.07,"2,639.00","2,820.00","2,597.00","10,078.00","2,692.00"
314,315,UPCL,288.00,6.10,2.16,282.00,291.30,280.20,"149,556.00",281.90
315,316,UPPER,204.90,4.50,2.25,202.40,206.00,200.20,"187,815.00",200.40
316,317,USHEC,695.00,15.00,2.21,669.00,695.00,669.00,"50,856.00",680.00
317,318,USHL,850.00,-6.90,-0.81,845.00,855.00,839.00,"7,762.00",856.90
318,319,USLB,"1,500.00",0.00,0.00,"1,497.00","1,524.00","1,487.00","2,484.00","1,500.00"
319,320,VLBS,825.00,13.00,1.60,828.00,828.00,815.10,"1,544.00",812.00
320,321,VLUCL,730.00,28.00,3.99,705.00,744.00,696.00,"116,180.00",702.00
321,322,WNLB,"2,761.10",-79.90,-2.81,"2,785.00","2,834.50","2,730.00","3,470.00","2,841.00"
