,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
65,66,GILB,"1,211.00",28.00,2.37,"1,199.00","1,248.40","1,185.00","4,086.00","1,183.00"
66,67,GLBSL,"2,360.00",-20.00,-0.84,"2,379.90","2,425.00","2,346.10","4,112.00","2,380.00"
67,68,GLH,255.40,2.50,0.99,257.90,257.90,248.70,"75,821.00",252.90
68,69,GMFBS,"1,767.00",1.00,0.06,"1,800.00","1,800.00","1,767.00","2,407.00","1,766.00"
69,70,GMFIL,485.10,-0.90,-0.19,486.50,492.90,483.00,"30,688.00",486.00
70,71,GRDBL,"1,398.90",125.00,9.81,"1,248.50","1,399.70","1,200.00","77,396.00","1,273.90"
71,72,GUFL,602.00,-4.00,-0.66,606.00,610.00,599.00,"30,579.00",606.00
72,73,GVL,551.00,2.00,0.36,539.00,559.00,539.00,"6,986.00",549.00
73,74,GWFD83,"1,207.00",7.00,0.58,"1,224.00","1,224.00","1,199.60",510.00,"1,200.00"
74,75,H8020,10.08,0.16,1.61,9.76,10.08,9.76,"2,250.00",9.92
75,76,HATHY,"1,403.20",38.20,2.80,"1,380.00","1,420.00","1,370.00","57,298.00","1,365.00"
76,77,HBL,229.00,2.00,0.88,223.10,235.00,222.50,"63,623.00",227.00
77,78,HBLD86,"1,145.00",-35.30,-2.99,"1,156.69","1,156.69","1,145.00","5,010.00","1,180.30"
78,79,HDHPC,199.00,5.00,2.58,193.00,200.00,193.00,"162,636.00",194.00
79,80,HDL,"1,181.00",11.00,0.94,"1,189.90","1,192.90","1,171.00","27,501.00","1,170.00"
80,81,HEI,663.00,20.40,3.17,644.00,664.90,644.00,"41,562.00",642.60
81,82,HEIP,460.00,3.20,0.70,459.00,461.00,458.00,"1,180.00",456.80
82,83,HHL,571.00,9.00,1.60,555.00,574.90,545.00,"47,437.00",562.00
83,84,HIDCL,257.00,20.10,8.48,240.00,257.80,237.00,"359,894.00",236.90
84,85,HIDCLP,171.00,9.50,5.88,162.50,175.00,160.30,"556,504.00",161.50
85,86,HLBSL,956.00,14.00,1.49,932.00,968.90,932.00,"5,481.00",942.00
86,87,HLI,480.00,13.10,2.81,467.00,499.80,467.00,"199,956.00",466.90
87,88,HPPL,505.00,-9.00,-1.75,514.00,528.90,505.00,"325,186.00",514.00
88,89,HRL,876.00,38.00,4.53,835.00,895.90,835.00,"366,181.00",838.00
89,90,HURJA,236.00,6.10,2.65,232.80,238.00,230.00,"188,784.00",229.90
90,91,ICFC,640.00,13.10,2.09,630.00,645.00,630.00,"25,440.00",626.90
91,92,ICFCD83,"1,213.00",3.00,0.25,"1,213.00","1,213.00","1,213.00",25.00,"1,210.00"
92,93,IGI,605.00,10.80,1.82,598.00,606.50,591.40,"51,501.00",594.20
93,94,IHL,755.00,25.00,3.42,730.00,765.00,730.00,"69,254.00",730.00
94,95,ILBS,959.80,17.80,1.89,930.00,985.00,930.00,"4,927.00",942.00
95,96,ILBSP,488.50,-54.20,-9.99,531.90,531.90,488.50,"5,000.00",542.70
96,97,ILI,492.10,13.60,2.84,479.00,494.90,476.10,"46,968.00",478.50
97,98,JBBD87,"1,036.00",-14.00,-1.33,"1,050.00","1,050.00","1,036.00","5,025.00","1,050.00"
98,99,JBBL,356.00,7.00,2.01,349.00,358.70,348.00,"54,109.00",349.00
99,100,JBLB,"1,355.00",22.00,1.65,"1,321.30","1,355.00","1,321.30","4,514.00","1,333.00"
100,101,JFL,509.00,-7.00,-1.36,514.00,529.00,498.00,"125,874.00",516.00
101,102,JOSHI,427.00,15.70,3.82,412.00,427.00,412.00,"55,513.00",411.30
102,103,JSLBB,"1,600.00",20.00,1.27,"1,611.60","1,613.00","1,580.00","2,428.00","1,580.00"
103,104,KBL,202.00,6.00,3.06,196.00,204.90,194.00,"341,439.00",196.00
104,105,KBLD89,"1,140.30",-11.30,-0.98,"1,137.30","1,140.30","1,137.30","25,267.00","1,151.60"
105,106,KBSH,"2,476.00",31.00,1.27,"2,490.00","2,490.00","2,450.00","1,114.00","2,445.00"
106,107,KDBY,9.73,-0.01,-0.10,9.74,10.12,9.73,"226,025.00",9.74
107,108,KDL,"1,122.00",25.00,2.28,"1,090.00","1,147.50","1,083.00","7,986.00","1,097.00"
108,109,KEF,9.16,-0.21,-2.24,9.50,9.51,8.95,"99,200.00",9.37
109,110,KKHC,377.00,-1.00,-0.26,380.00,383.50,373.00,"62,063.00",378.00
110,111,KMCDB,"1,060.00",-10.00,-0.93,"1,085.00","1,085.00","1,027.70","7,651.00","1,070.00"
111,112,KMCDBP,589.00,0.00,0.00,589.00,589.00,589.00,"1,500.00",589.00
112,113,KPCL,554.00,14.00,2.59,540.00,558.00,533.00,"35,379.00",540.00
113,114,KSBBL,446.00,11.00,2.53,430.50,448.90,430.40,"42,827.00",435.00
114,115,KSY,8.58,0.02,0.23,8.56,8.58,8.56,600.00,8.56
115,116,LBBL,464.00,14.10,3.13,458.00,464.00,446.90,"77,654.00",449.90
116,117,LBBLD89,"1,210.00",84.40,7.50,"1,148.10","1,210.00","1,148.10","60,001.00","1,125.60"
117,118,LBLD88,"1,015.00",-27.80,-2.67,"1,022.00","1,022.00","1,015.00",49.00,"1,042.80"
118,119,LEC,210.00,3.00,1.45,207.00,214.90,205.00,"53,317.00",207.00
119,120,LICN,"1,099.00",18.90,1.75,"1,085.00","1,104.60","1,070.00","7,438.00","1,080.10"
120,121,LLBS,"1,137.80",17.90,1.60,"1,097.60","1,142.00","1,075.70","1,147.00","1,119.90"
121,122,LSL,212.00,4.40,2.12,207.00,213.00,207.00,"65,919.00",207.60
122,123,LUK,9.56,0.34,3.69,9.19,9.56,9.19,"9,680.00",9.22
123,124,LVF2,9.07,-0.13,-1.41,9.02,9.07,9.02,900.00,9.20
124,125,MAKAR,673.90,0.90,0.13,679.00,685.00,670.20,"37,243.00",673.00
125,126,MANDU,967.00,8.00,0.83,960.00,979.00,956.00,"11,472.00",959.00
126,127,MATRI,"1,175.60",10.60,0.91,"1,175.00","1,185.00","1,170.00","2,480.00","1,165.00"
127,128,MBJC,357.50,0.50,0.14,352.10,364.10,352.10,"84,079.00",357.00
128,129,MBL,227.00,4.00,1.79,220.10,227.40,220.10,"59,617.00",223.00
129,130,MBLD87,"1,021.00",-19.00,-1.83,"1,021.00","1,021.00","1,021.00",25.00,"1,040.00"
130,131,MCHL,639.00,0.00,0.00,649.00,652.00,627.10,"18,448.00",639.00
131,132,MDB,636.00,11.00,1.76,615.00,640.00,615.00,"40,931.00",625.00
132,133,MEHL,562.70,32.70,6.17,535.00,577.20,532.00,"140,992.00",530.00
133,134,MEL,357.10,1.10,0.31,350.10,366.90,350.10,"94,345.00",356.00
134,135,MEN,602.70,6.70,1.12,605.00,615.00,600.00,"42,785.00",596.00
135,136,MERO,665.00,5.20,0.79,659.90,676.00,652.10,"5,897.00",659.80
136,137,MFIL,637.00,7.10,1.13,640.00,644.80,627.00,"34,063.00",629.90
137,138,MFLD85,"1,050.00",9.50,0.91,"1,050.00","1,050.00","1,050.00",25.00,"1,040.50"
138,139,MHCL,550.00,3.00,0.55,547.00,560.00,543.20,"50,390.00",547.00
139,140,MHL,"1,088.00",81.50,8.10,986.40,"1,088.00",905.90,"70,544.00","1,006.50"
140,141,MHNL,264.20,4.30,1.65,259.00,275.40,259.00,"31,790.00",259.90
141,142,MKCL,"1,560.00",-4.00,-0.26,"1,595.00","1,595.00","1,554.20","9,113.00","1,564.00"
142,143,MKHC,573.90,3.80,0.67,571.00,590.00,565.00,"68,600.00",570.10
143,144,MKHL,652.00,-1.90,-0.29,665.90,665.90,647.00,"28,489.00",653.90
144,145,MKJC,579.00,11.00,1.94,557.00,590.00,557.00,"53,326.00",568.00
145,146,MLBBL,"1,643.90",12.90,0.79,"1,606.00","1,662.70","1,606.00","8,596.00","1,631.00"
146,147,MLBL,377.00,7.30,1.97,365.20,378.80,365.20,"44,890.00",369.70
147,148,MLBLD89,"1,171.20",13.20,1.14,"1,181.10","1,195.00","1,171.20","13,239.00","1,158.00"
148,149,MLBS,"2,160.00",-8.00,-0.37,"2,124.70","2,191.90","2,108.00","3,745.00","2,168.00"
149,150,MLBSL,"2,210.00",-35.00,-1.56,"2,206.00","2,244.00","2,201.00","3,348.00","2,245.00"
150,151,MMF1,8.78,0.09,1.04,8.52,8.90,8.52,"17,500.00",8.69
151,152,MMKJL,790.00,15.00,1.94,790.50,805.00,780.00,"76,794.00",775.00
152,153,MNBBL,369.30,1.60,0.44,370.30,373.90,369.00,"53,303.00",367.70
153,154,MNBBLP,221.00,0.00,0.00,221.00,221.00,221.00,"25,000.00",221.00
154,155,MNMF1,9.12,-0.13,-1.41,9.13,9.43,9.07,"94,800.00",9.25
155,156,MPFL,624.00,7.90,1.28,628.40,640.00,623.00,"28,599.00",616.10
156,157,MSHL,947.20,-1.80,-0.19,930.10,958.80,920.10,"6,877.00",949.00
157,158,MSLB,"1,438.00",22.00,1.55,"1,416.00","1,443.90","1,415.00",716.00,"1,416.00"
158,159,NABBC,"1,122.10",-7.90,-0.70,"1,108.00","1,230.00","1,076.00","55,040.00","1,130.00"
159,160,NABIL,486.00,2.60,0.54,483.00,488.80,483.00,"62,780.00",483.40
160,161,NABILD87,"1,055.00",-6.80,-0.64,"1,055.00","1,055.00","1,055.00",25.00,"1,061.80"
161,162,NADEP,947.00,4.10,0.43,930.00,952.80,930.00,"3,665.00",942.90
162,163,NBF2,9.22,0.04,0.44,9.00,9.39,9.00,"23,464.00",9.18
163,164,NBF3,9.08,-0.10,-1.09,9.18,9.30,9.02,"24,000.00",9.18
